feature_name,importance
cat__login_country_SG,0.3565664
num__time_to_first_service_switch_seconds,0.18045281
num__distinct_service_count_in_session,0.16412346
cat__login_country_ID,0.05969188
cat__login_country_MY,0.057498295
cat__login_country_TH,0.052929427
num__time_to_first_service_switch_missing_flag,0.047167383
cat__trust_status_trusted,0.0034884294
cat__login_method_face_verification,0.003292868
cat__service_sector_type_banking,0.003097764
cat__service_risk_tier_high,0.003043766
cat__login_method_app_login,0.002862638
cat__service_sector_type_other_private,0.0028087494
num__service_used_by_user_last_30d_flag,0.0027779622
cat__service_risk_tier_low,0.002692255
num__user_prior_avg_session_duration_seconds_30d,0.002688984
num__login_hour_of_day,0.0026621276
num__time_to_first_post_login_event_seconds,0.0026421393
cat__service_sector_type_telecom,0.0026377502
num__session_duration_deviation_from_user_avg,0.0026114797
cat__trust_status_new,0.0025597229
num__user_prior_avg_post_login_event_count_30d,0.0025358873
cat__service_risk_tier_medium,0.0025230406
cat__login_method_qr_login,0.002516496
num__post_login_duration_seconds,0.002516029
num__user_prior_distinct_services_30d,0.0025002803
num__high_risk_service_access_flag,0.0024787376
cat__trust_status_revoked,0.0024535174
num__user_prior_monitored_session_count_30d,0.0024480019
cat__trust_status_stale,0.0024361317
num__recent_lifecycle_change_before_session_flag,0.0024122267
cat__service_sector_type_government,0.0023876627
num__recent_app_reinstall_before_session_flag,0.0023294005
num__session_event_count_deviation_from_user_avg,0.00229283
cat__service_sector_type_insurance,0.0022699742
num__user_prior_sensitive_session_count_30d,0.0021427786
num__recent_contact_detail_update_before_session_flag,0.00202318
num__rare_service_access_flag,0.0017190016
num__service_usage_count_by_user_30d,0.001718542
num__session_event_count_deviation_missing_flag,0.0
num__session_duration_deviation_missing_flag,0.0
num__service_switch_count,0.0
num__max_event_burst_5m,0.0
